"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2150","Validar usuarios vacíos","webkit","Wed Apr 23 18:05:32 PET 2025","passed","Wed Apr 23 18:05:34 PET 2025","","login.spec.ts","",""
"Este test valida el login con credenciales válidas","6028","Login exitoso","webkit","Wed Apr 23 17:48:10 PET 2025","passed","Wed Apr 23 17:48:16 PET 2025","","login2.spec.ts","",""
"","2602","Validar usuarios vacíos","firefox","Wed Apr 23 18:05:27 PET 2025","passed","Wed Apr 23 18:05:29 PET 2025","","login.spec.ts","",""
"","2299","Validar usuarios correctos","chromium","Wed Apr 23 18:05:24 PET 2025","passed","Wed Apr 23 18:05:26 PET 2025","","login.spec.ts","",""
"","2279","Validar usuarios vacíos","chromium","Wed Apr 23 18:05:24 PET 2025","passed","Wed Apr 23 18:05:26 PET 2025","","login.spec.ts","",""
"","2677","Validar usuarios incorrectos","firefox","Wed Apr 23 18:05:27 PET 2025","passed","Wed Apr 23 18:05:29 PET 2025","","login.spec.ts","",""
"","2349","Validar usuarios correctos","firefox","Wed Apr 23 18:05:27 PET 2025","passed","Wed Apr 23 18:05:29 PET 2025","","login.spec.ts","",""
"","3677","Validar usuarios incorrectos","webkit","Wed Apr 23 18:05:31 PET 2025","passed","Wed Apr 23 18:05:34 PET 2025","","login.spec.ts","",""
"Este test valida el login con credenciales válidas","5462","Login exitoso","firefox","Wed Apr 23 17:48:04 PET 2025","passed","Wed Apr 23 17:48:09 PET 2025","","login2.spec.ts","",""
"Este test valida el login con credenciales válidas","3306","Login exitoso","chromium","Wed Apr 23 17:48:00 PET 2025","passed","Wed Apr 23 17:48:03 PET 2025","","login2.spec.ts","",""
"","5385","test 3","firefox","Wed Apr 23 17:24:49 PET 2025","passed","Wed Apr 23 17:24:55 PET 2025","","exampleData.spec.ts","",""
"Verifica que el usuario pueda iniciar sesión correctamente.","5325","Login exitoso con credenciales válidas","chromium","Wed Apr 23 18:05:24 PET 2025","passed","Wed Apr 23 18:05:29 PET 2025","","login2.spec.ts","",""
"","5575","test 3","webkit","Wed Apr 23 17:24:53 PET 2025","passed","Wed Apr 23 17:24:59 PET 2025","","exampleData.spec.ts","",""
"","2290","Validar usuarios incorrectos","chromium","Wed Apr 23 18:05:24 PET 2025","passed","Wed Apr 23 18:05:26 PET 2025","","login.spec.ts","",""
"","3616","Validar usuarios correctos","webkit","Wed Apr 23 18:05:31 PET 2025","passed","Wed Apr 23 18:05:34 PET 2025","","login.spec.ts","",""
"Verifica que el usuario pueda iniciar sesión correctamente.","4560","Login exitoso con credenciales válidas","firefox","Wed Apr 23 18:05:30 PET 2025","passed","Wed Apr 23 18:05:34 PET 2025","","login2.spec.ts","",""
"Verifica que el usuario pueda iniciar sesión correctamente.","5761","Login exitoso con credenciales válidas","webkit","Wed Apr 23 18:05:34 PET 2025","passed","Wed Apr 23 18:05:40 PET 2025","","login2.spec.ts","",""
"","5793","test 3","chromium","Wed Apr 23 17:24:49 PET 2025","passed","Wed Apr 23 17:24:55 PET 2025","","exampleData.spec.ts","",""
